BeeID,ColonyID,Treatment,Count ,DissectWeight,WingSize,InocDate,CallowMass
1,JG 1,Sun,14,0.15,1.76,1,0.15
4,JG 1,Mix,1,0.123,1.76,1,0.1509
5,JG 1,Sun,1,0.0905,1.44,1,0.097
6,JG 1,Buck,5,0.137,1.76,2,0.1605
7,JG 1,Rape,85,0.1035,1.48,2,0.093
8,JG 1,Mix,60,0.0836,1.36,2,0.0723
13,JG 1,Sun,2,0.093,1.44,3,0.0936
15,JG 1,Rape,500,0.062,1.28,3,0.0597
17,JG 1,Sun,1,0.0577,1.2,6,0.0427
18,JG 1,Buck,109,0.1066,1.52,9,0.0811
19,JG 1,Rape,11,0.0764,1.48,10,0.0843
20,JG 1,Mix,0,0.1351,1.64,11,0.1233
21,JG 1,Sun,0,0.1084,1.52,12,0.0957
22,JG 1,Buck,19,0.1701,1.88,13,0.1677
24,JG 1,Mix,0,0.1671,1.84,14,0.1835
25,JG 1,Sun,0,0.0718,1.32,15,0.0602
26,JG 1,Buck,0,0.1592,1.84,15,0.1816
27,JG 1,Rape,34,0.1329,1.76,16,0.1554
28,JG 1,Mix,4,0.1602,1.76,17,0.1831
29,JG 1,Sun,0,0.1391,1.72,17,0.1367
32,JG 1,Mix,0,0.1144,1.6,17,0.1177
33,JG 1,Sun,1,0.1323,1.68,18,0.1243
34,JG 1,Buck,18,0.1473,1.76,18,0.1549
35,JG 1,Rape,0,0.1245,1.64,18,0.1242
36,JG 1,Mix,0,0.1758,1.84,18,0.1967
37,JG 1,Sun,0,0.1472,1.68,18,0.1479
38,JG 1,Buck,12,0.1415,1.68,19,0.1384
39,JG 1,Rape,67,0.1453,1.68,20,0.155
40,JG 1,Mix,7,NA,1.44,23,0.087
41,JG 1,Sun,2,0.1466,1.68,24,0.1534
42,JG 1,Buck,58,0.1015,1.56,24,0.1119
44,JG 1,Mix,16,0.0848,1.48,25,0.1108
45,JG 1,Sun,0,0.0705,1.44,25,0.0908
46,JG 1,Buck,40,0.1628,1.92,26,0.2157
47,JG 1,Rape,68,0.0781,1.52,26,0.0986
49,JG 1,Sun,30,0.1009,1.6,26,0.1231
50,JG 1,Buck,16,0.0602,1.4,26,0.0829
52,JG 1,Mix,0,0.0841,1.6,27,0.128
53,JG 1,Sun,12,0.0962,1.6,27,0.1174
57,JG 1,Sun,0,0.1596,1.76,30,0.1495
59,JG 1,Rape,18,0.1136,1.84,30,0.178
60,JG 1,Mix,9,0.1276,1.84,31,0.1959
61,JG 2,Sun,32,0.1425,1.76,1,0.1424
62,JG 2,Buck,400,0.1452,1.8,2,0.145
63,JG 2,Rape,61,0.151,1.8,4,0.1566
64,JG 2,Mix,2,0.142,1.68,4,0.1266
65,JG 2,Sun,0,0.2933,2.16,4,0.2658
66,JG 2,Buck,150,0.0985,1.6,11,0.0953
67,JG 2,Rape,42,0.0672,1.44,11,0.0794
68,JG 2,Mix,57,0.1223,1.6,12,0.1058
69,JG 2,Sun,1,0.1062,1.52,14,0.0847
70,JG 2,Buck,42,0.1188,1.68,15,0.1049
71,JG 2,Rape,3,0.1861,1.92,18,0.1732
121,JG 3,Sun,12,0.225,1.92,1,0.2034
122,JG 3,Buck,157,0.172,1.88,1,0.1675
123,JG 3,Rape,40,0.1146,1.6,2,0.1064
124,JG 3,Mix,36,0.0833,1.44,8,0.081
125,JG 3,Sun,0,0.1032,1.52,9,0.094
126,JG 3,Buck,400,0.1361,1.76,10,0.1519
127,JG 3,Rape,0,0.1652,1.76,10,0.139
128,JG 3,Mix,66,0.1247,1.64,10,0.1246
129,JG 3,Sun,0,0.1304,1.68,10,0.1324
130,JG 3,Buck,232,0.1125,1.52,10,0.1046
131,JG 3,Rape,51,0.1034,1.52,10,0.1109
132,JG 3,Mix,112,0.1329,1.6,11,0.1206
133,JG 3,Sun,0,0.0891,1.44,11,0.0962
134,JG 3,Buck,7,0.1294,1.6,12,0.112
135,JG 3,Rape,20,0.1501,1.68,12,0.1642
136,JG 3,Mix,20,0.1104,1.52,12,0.11
137,JG 3,Sun,7,0.1062,1.52,13,0.1076
138,JG 3,Buck,151,0.1173,1.6,14,0.1095
139,JG 3,Rape,33,0.1508,1.72,14,0.1632
140,JG 3,Mix,0,0.0965,1.6,15,0.1253
141,JG 3,Sun,0,0.1512,1.72,15,0.1438
142,JG 3,Buck,28,0.1561,1.8,16,0.1815
144,JG 3,Mix,21,0.1543,1.72,16,0.1532
145,JG 3,Sun,25,0.1528,1.72,16,0.1661
148,JG 3,Mix,1,0.0932,1.44,18,0.0878
149,JG 3,Sun,4,0.1953,1.88,19,0.1814
150,JG 3,Buck,395,0.1321,1.68,20,0.1069
151,JG 3,Rape,38,0.1269,1.6,20,0.1133
152,JG 3,Mix,0,0.215,1.88,20,0.1986
153,JG 3,Sun,0,0.1521,1.76,20,0.1449
154,JG 3,Buck,0,0.183,1.88,20,0.1931
155,JG 3,Rape,68,0.1112,1.52,20,0.1067
156,JG 3,Mix,3,0.2072,1.92,21,0.2042
157,JG 3,Sun,0,0.1112,1.52,21,0.1024
158,JG 3,Buck,372,0.2483,2.04,21,0.2362
159,JG 3,Rape,148,0.2038,1.96,22,0.1893
160,JG 3,Mix,31,0.1908,1.96,23,0.2008
161,JG 3,Sun,0,0.2423,2.08,25,0.2409
162,JG 3,Buck,138,0.095,1.52,25,0.0991
163,JG 3,Rape,16,0.1131,1.6,33,0.1054
165,JG 3,Sun,6,0.1396,1.64,34,0.1298
167,JG 3,Rape,9,0.2001,1.96,35,0.2011
168,JG 3,Mix,0,0.1692,1.92,36,0.2049
181,JG 4,Sun,0,0.1763,1.84,2,0.1756
182,JG 4,Buck,19,0.1015,1.52,12,0.0853
183,JG 4,Rape,10,0.1285,1.6,12,0.1197
185,JG 4,Sun,5,0.1543,1.72,13,0.1503
186,JG 4,Buck,0,0.1448,1.76,13,0.1395
187,JG 4,Rape,17,0.0725,1.36,13,0.0708
188,JG 4,Mix,1,0.1476,1.68,14,0.1345
189,JG 4,Sun,1,0.0874,1.52,14,0.0976
190,JG 4,Buck,12,0.1062,1.52,14,0.0965
191,JG 4,Rape,50,0.1364,1.6,15,0.1232
192,JG 4,Mix,11,0.1689,1.76,16,0.1453
193,JG 4,Sun,0,0.1681,1.6,17,0.127
194,JG 4,Buck,95,0.202,1.72,17,0.1447
195,JG 4,Rape,10,0.1531,1.68,18,0.1372
196,JG 4,Mix,1,0.1123,1.48,18,0.105
197,JG 4,Sun,0,0.1631,1.72,19,0.1543
198,JG 4,Buck,0,0.1688,1.84,19,0.1821
200,JG 4,Mix,0,0.2165,1.92,20,0.1975
201,JG 4,Sun,0,0.2465,2,24,0.2354
202,JG 4,Buck,236,0.0935,1.44,26,0.088
204,JG 4,Mix,0,0.0922,NA,28,0.075
205,JG 4,Sun,0,0.1258,1.64,28,0.1198
206,JG 4,Buck,9,0.1275,1.6,28,0.1189
207,JG 4,Rape,0,0.1334,1.68,29,0.15
209,JG 4,Sun,0,0.1325,1.68,29,0.1329
210,JG 4,Buck,1,0.162,1.76,29,0.1645
211,JG 4,Rape,0,0.1317,1.76,29,0.1469
212,JG 4,Mix,1,0.1497,1.72,29,0.1642
213,JG 4,Sun,1,0.147,1.76,30,0.15
214,JG 4,Buck,47,0.1616,1.76,30,0.1879
215,JG 4,Rape,8,0.1291,1.76,30,0.1581
216,JG 4,Mix,10,0.1432,1.76,30,0.1789
217,JG 4,Sun,0,0.1439,1.76,30,0.1539
218,JG 4,Buck,12,0.1365,1.76,30,0.1501
219,JG 4,Rape,5,0.1056,1.52,32,0.1099
220,JG 4,Mix,45,0.0796,1.44,32,0.0979
221,JG 4,Sun,6,0.1214,1.52,33,0.119
225,JG 4,Sun,0,0.0811,1.36,34,0.0742
226,JG 4,Buck,4,0.0628,1.28,34,0.0633
227,JG 4,Rape,3,0.081,1.44,34,0.0814
241,JG 1,Sun,0,0.1321,1.72,31,0.1762
242,JG 1,Buck,2,0.163,1.88,31,0.1995
244,JG 1,Mix,10,0.1103,1.56,32,0.1152
245,JG 1,Sun,0,0.0857,1.4,33,0.0753
246,JG 1,Buck,39,0.1679,1.92,35,0.1991
247,JG 1,Rape,3,0.122,1.68,36,0.1362
250,JG 1,Buck,44,0.0854,1.56,37,0.1155
301,JG 5,Sun,0,0.1455,1.6,32,0.1326
302,JG 5,Buck,29,0.1436,1.64,32,0.1389
303,JG 5,Rape,3,0.1686,1.72,32,0.1648
304,JG 5,Mix,8,0.197,1.92,32,0.2007
305,JG 5,Sun,0,0.1096,1.44,32,0.1041
306,JG 5,Buck,101,0.1407,1.8,34,0.1451
307,JG 5,Rape,1,0.1653,1.72,34,0.1538
308,JG 5,Mix,1,0.1409,1.6,34,0.111
309,JG 5,Sun,0,0.1571,1.76,35,0.1697
310,JG 5,Buck,5,0.126,1.52,36,0.115
311,JG 5,Rape,68,0.1245,1.68,36,0.1388
312,JG 5,Mix,19,0.1722,1.76,36,0.1671
313,JG 5,Sun,0,0.0973,1.52,36,0.0974
314,JG 5,Buck,153,0.1318,1.64,36,0.1461
315,JG 5,Rape,0,0.147,1.68,36,0.1488
316,JG 5,Mix,0,0.1259,1.6,36,0.1279
317,JG 5,Sun,0,0.1336,1.68,37,0.1211
318,JG 5,Buck,268,0.107,1.48,37,0.0966
319,JG 5,Rape,59,0.1405,1.76,37,0.141
320,JG 5,Mix,1,0.1009,1.52,37,0.0999
321,JG 5,Sun,0,0.1965,2,37,0.2286
322,JG 5,Buck,298,0.1393,1.68,37,0.1401
323,JG 5,Rape,96,0.1143,1.64,37,0.1208
324,JG 5,Mix,0,0.1673,1.76,37,0.1656
325,JG 5,Sun,0,0.1876,1.88,37,0.1928
327,JG 5,Rape,15,0.1096,1.52,38,0.1016
330,JG 5,Buck,265,0.0682,1.44,39,0.0657
331,JG 5,Rape,7,0.0963,1.52,39,0.0921
332,JG 5,Mix,3,0.0858,1.4,39,0.0771
333,JG 5,Sun,0,0.1357,1.64,39,0.1196
334,JG 5,Buck,0,0.1891,1.8,39,0.1629
335,JG 5,Rape,250,0.1103,1.32,39,0.0595
336,JG 5,Mix,0,0.1071,1.48,39,0.0842
337,JG 5,Sun,0,0.1235,1.56,39,0.1046
362,JG 7,Buck,59,0.1401,1.56,32,0.1294
363,JG 7,Rape,11,0.1127,1.52,33,0.1105
364,JG 7,Mix,2,0.1328,1.56,33,0.1298
366,JG 7,Buck,59,0.125,1.52,33,0.1147
367,JG 7,Rape,69,0.1466,1.68,33,0.1503
368,JG 7,Mix,2,0.1542,1.68,33,0.1399
369,JG 7,Sun,0,0.1895,1.76,33,0.1591
370,JG 7,Buck,240,0.1565,1.76,33,0.1686
371,JG 7,Rape,66,0.1441,1.68,33,0.133
372,JG 7,Mix,19,0.119,1.48,33,0.1172
373,JG 7,Sun,4,0.1354,1.56,33,0.127
374,JG 7,Buck,65,0.1747,1.8,34,0.2132
375,JG 7,Rape,25,0.1345,1.6,34,0.1455
376,JG 7,Mix,0,0.1649,1.84,34,0.1627
377,JG 7,Sun,0,0.1242,1.6,34,0.1342
378,JG 7,Buck,205,0.2185,1.88,34,0.2142
379,JG 7,Rape,3,0.1405,1.68,37,0.1431
381,JG 7,Sun,1,0.1272,1.56,37,0.0974
382,JG 7,Buck,49,0.1537,1.76,38,0.1377
383,JG 7,Rape,48,0.1462,1.68,38,0.1319
